Job_ID,Job_Title,Job_Type,Company_Name,Sector,Posted_Date,Location,Cities,States,Skills_Required,Qualification_Required,Experience_Required,Stipend,Duration,Number_of_Openings,Actively_Hiring,Description,Links,Diversity_Preferences,Past_Participation,Tags
,WordPress Development Intern,,Bauer Bodoni,,,,,,WordPress,,,"₹ 15,000-20,000 /month",,,,"Are you a WordPress whiz looking to gain hands-on experience? Bauer Bodoni is seeking a talented WordPress Development intern to join our dynamic team! As an intern, you will have the opportunity to work on exciting projects, collaborate with experienced developers, and enhance your skills in a fast-paced environment. 

Selected intern's day-to-day responsibilities include:

1. Develop and customize WordPress themes and plugins to enhance website functionality
2. Collaborate with design and marketing teams to implement website updates and improvements
3. Conduct website maintenance tasks, such as backups, updates, and optimization
4. Troubleshoot and resolve any technical issues that arise on the WordPress platform
5. Assist in the creation of new website features and functionalities to improve user experience
6. Stay up-to-date on the latest WordPress trends and best practices
7. Provide support and training to team members on using WordPress effectively

If you are a self-motivated individual with a passion for WordPress development, then this internship is perfect for you! Apply now and take your skills to the next level with Bauer Bodoni.. WordPress",https://internshala.com/internship/detail/wordpress-development-internship-in-faridabad-at-bauer-bodoni1711712202,,,
,WordPress Development Intern,,Bauer Bodoni,,,,,,"MS-PowerPoint , WordPress",,,"₹ 15,000-20,000 /month",,,,"As a WordPress Development intern at Bauer Bodoni, you will have the exciting opportunity to work closely with our team to enhance our online presence and create stunning websites for our clients. If you have a strong knowledge of WordPress and MS-PowerPoint, this internship is perfect for you! 

Selected intern's day-to-day responsibilities include:

1. Assist in the development and maintenance of WordPress websites for various clients.
2. Collaborate with the design team to implement creative and engaging website designs.
3. Troubleshoot and resolve any technical issues with WordPress websites.
4. Optimize website performance through SEO strategies and best practices.
5. Create and update content on websites using MS-PowerPoint.
6. Stay up-to-date on the latest trends in WordPress development and implement new features when necessary.
7. Provide support to clients and internal team members on website-related tasks.

If you are passionate about web development and eager to learn, apply now to join our team and gain valuable hands-on experience in the world of WordPress development!. MS-PowerPoint , WordPress",https://internshala.com/internship/detail/wordpress-development-internship-in-faridabad-at-bauer-bodoni1711712308,,,
,ERPNext And HRMS Admin Intern,,ESSI Integrated Technologies,,,,,,"Accounting , Enterprise Resource Planning(ERP) , HR Analytics",,,"₹ 10,000 /month",,,,"Selected intern's day-to-day responsibilities include:

1. Analyze business requirements and processes to configure and customize ERPNext to meet specific needs.
2. Develop and implement custom modules, reports, and integrations using the ERPNext framework.
3. Provide training and support to end-users on the effective use of ERPNext modules.
4. Optimize ERPNext performance and troubleshoot issues as needed.
5. Configure and customize the HRMS module within ERPNext to manage HR processes efficiently.
6. Set up and maintain employee records, leave management, payroll, performance management, and other HR-related functionalities.
7. Develop custom reports and dashboards to support HR analytics and decision-making.
8. Ensure data integrity and security in the HRMS system.
9. Integrate ERPNext and HRMS with other business systems, such as accounting software, time tracking, or third-party applications.
10. Plan and execute data migration processes from legacy systems to ERPNext and HRMS.
11. Ensure data accuracy and integrity during the migration process.
12. Develop comprehensive user guides, training materials, and documentation for ERPNext and HRMS solutions.
13. Conduct training sessions and workshops for end-users, administrators, and support staff.
14. Stay up-to-date with ERPNext and HRMS updates, new features, and best practices.. Accounting , Enterprise Resource Planning(ERP) , HR Analytics",https://internshala.com/internship/detail/erpnext-and-hrms-admin-internship-in-delhi-at-essi-integrated-technologies1711702313,,,
,Website Operation Intern,,Growify Digital,,,,,,"JavaScript , WordPress",,,"₹ 10,000-15,000 /month",,,,"Selected intern's day-to-day responsibilities include:

1. Create an e-commerce store on Shopify and WordPress
2. Add and update products listings and images on the website
3. Work to catalog products as per the requirement
4. Execute sales, promotions, and marketing campaigns on the website
5. Work on testing to go-live
6. Onboard new clients and manage existing clients
7. Work closely with the design, development, and sales team. JavaScript , WordPress",https://internshala.com/internship/detail/website-operation-internship-in-delhi-at-growify-digital1711691949,,,
,Influencer Marketing Data Analytics Intern,,Confluencr,,,,,,"Digital Advertising , English Proficiency (Spoken) , MS-Excel , Power BI , Python , Social Media Marketing",,,"₹ 20,000 /month",,,,"Selected intern's day-to-day responsibilities include:

1. Collaborate with influencers on Instagram and YouTube to create content
2. Work on interfacing with one of the leading brands in the country to drive their influencer marketing initiatives
3. Gather and organize data from various sources, including social media platforms, analytics tools, and internal databases
4. Conduct an in-depth analysis of influencer marketing campaigns to identify trends, patterns, and key performance indicators (KPIs)
5. Utilize statistical methods and data visualization tools to interpret and present findings effectively
6. Assess the success of influencer marketing initiatives by evaluating reach, engagement, conversion rates, and other relevant metrics
7. Collaborate with cross-functional teams to understand campaign objectives and align data analysis with overarching goals
8. Monitor and analyze competitor influencer marketing strategies to identify industry trends and opportunities for improvement
9. Work closely with the marketing team to integrate data-driven insights into influencer strategy planning

Requirements:

1. Understanding and experience in data science, business analytics, marketing analytics, or a related field
2. Strong analytical and problem-solving skills, with a keen attention to detail
3. Familiarity with data analysis tools such as Excel, Python, R, Power Bi, or similar
4. Understanding of social media platforms and influencer marketing trends
5. Excellent communication and presentation skills. Digital Advertising , English Proficiency (Spoken) , MS-Excel , Power BI , Python , Social Media Marketing",https://internshala.com/internship/detail/influencer-marketing-data-analytics-internship-in-bangalore-at-confluencr1711690594,,,
,Website Development And Design Intern,,Slaughter & Fox,,,,,,"Certificate ,  Letter of recommendation ,  Informal dress code ,  Free snacks & beverages",,,"₹ 15,000-45,000 /month",,,,"You should be full stack and must possess both skill sets. 

Selected intern's day-to-day responsibilities include:

1. Work on design responsibilities
2. Create visually appealing designs for websites.
3. Prepare brochures, cards, and other digital art items as required
4. Work on website responsibilities
5. Design, develop, and launch websites using your expertise in website development
6. Implement design elements seamlessly into functional websites
7. Apply best practices for user experience and responsive design to create engaging and user-friendly websites
8. Work on research responsibilities (when not working on the website/design work)
9. Conduct market research (on vendors, companies, suppliers, manufacturers, etc.)
10. Assist in data recording and analysis to support business requirements. Certificate ,  Letter of recommendation ,  Informal dress code ,  Free snacks & beverages",https://internshala.com/internship/detail/website-development-and-design-internship-in-kolkata-at-slaughter-fox1711625855,,,
,Web Marketing Intern,,Money Making Trading Courses,,,,,,"Digital Marketing , Facebook Marketing , Instagram Marketing , Search Engine Optimization (SEO) , Social Media Marketing",,,"₹ 7,000-8,000 /month",,,,"Selected intern's day-to-day responsibilities include:

1. Maintain and monitor data of posts
2. Do email marketing and referral marketing
4. Do YouTube video uploading, description, and YouTube SEO (keyword research, competitor analysis, and Video Tags)
5. Run a Facebook Ad campaign and a Google ads campaign and monitor Google  Analytics
6. Handle social media platforms (traffic & engagements)
7. Handle SEO
8. Schedule webinars
9. Work on Google AdWords. Digital Marketing , Facebook Marketing , Instagram Marketing , Search Engine Optimization (SEO) , Social Media Marketing",https://internshala.com/internship/detail/web-marketing-internship-in-navi-mumbai-at-money-making-trading-courses1711607103,,,
,Blockchain Development Intern (Remote),,QuadB Tech,,,,,,"Blockchain , Rust",,,"₹ 5,000 /month",,,,"Selected intern's day-to-day responsibilities include:

1. Participate during the product design phases, analyze requirements, and propose innovative and alternative solutions
2. Collaborate on architecture definitions, always thinking of solutions that are scalable and secure
3. Develop quality web3 JS/TS code for smart contract interactions
4. Handle the integration of Web3 scripts on front-end application
5. Oversee the journey of the project from scratch to production
6. Create technical documentation. Blockchain , Rust",https://internshala.com/internship/detail/work-from-home-blockchain-development-internship-at-quadb-tech1711691446,,,
,Flutter Development Intern (Remote),,Seequenze Technologies,,,,,,"Android , Dart , Firebase , Flutter , Java , MySQL , REST API",,,"₹ 4,000-6,000 /month",,,,"Selected intern's day-to-day responsibilities include:

1. Design the end-to-end architecture of an application
2. Work on unit test code for robustness, including edge cases, usability, and general reliability
3. Work on bug fixing and improving application performance regularly
4. Work on designing, developing, and testing UI for mobile applications

Requirements:

1. Experience with Git, SVN, or other version control tools
2. An online portfolio or samples of work demonstrating past work and relevant experience
3. Looking for a Flutter/React Native intern who has two or more IOS/Android apps developed with Flutter or React Native by understanding product requirements, research, and user feedback (either deployed on the AppStore/Google Play or available on Github)
4. Experience in developing Flutter/React Native applications for mobile
5. You should have a strong interest and passion for design and development. Android , Dart , Firebase , Flutter , Java , MySQL , REST API",https://internshala.com/internship/detail/work-from-home-flutter-development-internship-at-seequenze-technologies1711700433,,,
,Angular.js Development Intern (Remote),,Heliverse,,,,,,"Angular 7.0 , AngularJS , CSS , Git , GitHub , HTML , JavaScript , Redux , SCSS",,,"₹ 10,000-15,000 /month",,,,"Selected intern's day-to-day responsibilities include: 

1. Collaborate with the development team to design and implement user-friendly web applications using AngularJS, HTML, CSS, and Redux
2. Write clean, maintainable, and efficient code
3. Utilize Redux for state management within AngularJS applications
4. Develop responsive and visually appealing user interfaces using HTML and CSS
5. Participate in code reviews to maintain code quality and ensure best practices
6. Debug and troubleshoot issues as they arise
7. Stay up-to-date with the latest industry trends and technologies in web development. Angular 7.0 , AngularJS , CSS , Git , GitHub , HTML , JavaScript , Redux , SCSS",https://internshala.com/internship/detail/work-from-home-angularjs-development-internship-at-heliverse1711692394,,,
