,Job Title,Job Type,Company Name,Posted Date,Cities,States,Stipend,Start Date,Duration,Numer of Openings,Late date to apply
0,IT & E-GOVERNANCE,Full Time,"State Mission Management Unit, AMRUT Kerala",06-10-2023,Thiruvananthapuram,Kerala,10000 /month,Immediately,6 Months,1,12-11-2023
1,WATER AND USED WATER TREATMENT,Full Time,"State Mission Management Unit, AMRUT Kerala",06-10-2023,Thiruvananthapuram,Kerala,10000 /month,Immediately,6 Months,6,12-11-2023
2,MUNICIPAL FINANCE,Full Time,"State Mission Management Unit, AMRUT Kerala",16-10-2023,Thiruvananthapuram,Kerala,10000 /month,Immediately,6 Months,1,12-11-2023
3,CAPACITY BUILDING AND URBAN REFORMS,Full Time,"State Mission Management Unit, AMRUT Kerala",19-10-2023,Thiruvananthapuram,Kerala,10000 /month,Immediately,7 Months,1,12-11-2023
4,IT & E-GOVERNANCE INTERNS IN MSEVA PROJECT OF PMIDC,Full Time,Punjab Municipal Infrastructure Development Company,15-12-2023,Chandigarh,Punjab,12000 /month,Immediately,6 Months,2,13-01-2024
5,CAPACITY BUILDING INTERN REQUIRED AT CHANDIGARH,Full Time,Punjab Municipal Infrastructure Development Company,15-02-2024,Chandigarh,Punjab,12000 /month,Immediately,6 Months,1,18-02-2024
6,ENVIRONMENTAL ASSISTANT  INTERN,Full Time,Punjab Municipal Infrastructure Development Company,26-02-2024,Chandigarh,Punjab,12000 /month,Immediately,6 Months,1,28-02-2024
7,MUNICIPAL FINANCE,Full Time,Kannur Municipal Corporation,29-02-2024,Kannur,Kerala,10000 /month,Immediately,6 Months,1,09-03-2024
8,REJUVENATION & RENOVATION OF POND PROJECTSS UNDER AMRUT SCHEME,Full Time,Chas Municipal Corporation,04-06-2024,Bokaro,Jharkhand,Unpaid,Immediately,8 Weeks,2,28-06-2024
9,FINANCE INTERN,Full Time,Thrissur Municipal Corporation,18-06-2024,Thrissur,Kerala,10000 /month,Immediately,6 Months,1,12-07-2024
10,CIVIL ENGINEER (INTERN),Full Time,Thrissur Municipal Corporation,18-06-2024,Thrissur,Kerala,10000 /month,Immediately,6 Months,1,25-01-2025
11,"URBAN PLANNING, PROVISION OF URBAN AMENITIES, FACILITIES AND REFORMS",Full Time,Alappuzha Municipality,25-06-2024,Alappuzha,Kerala,10000 /month,Immediately,6 Months,1,30-07-2024
12,INTERNSHIP UNDER TULIP SCHEME IN AMRUT CELL,Full Time,Punjab Municipal Infrastructure Development Company,25-06-2024,Chandigarh,Punjab,12000 /month,Immediately,6 Months,1,28-06-2024
13,WATER AND WASTE WATER,Full Time,Kozhikode Municipal Corporation,01-07-2024,Calicut,Kerala,10000 /month,Immediately,12 Months,1,07-09-2024
14,URBAN PLANNING  (INTERN),Full Time,Kozhikode Municipal Corporation,01-07-2024,Calicut,Kerala,10000 /month,Immediately,12 Months,1,07-09-2024
15,MUNICIPAL FINANCE,Full Time,Kozhikode Municipal Corporation,01-07-2024,Calicut,Kerala,10000 /month,Immediately,12 Months,1,07-09-2024
16,MUNICIPAL FINANCE,Full Time,Guruvayur Municipality,22-07-2024,Guruvayur,Kerala,10000 /month,Immediately,6 Months,1,03-08-2024
17,WATER AND WASTE WATER,Full Time,Guruvayur Municipality,22-07-2024,Guruvayur,Kerala,10000 /month,Immediately,6 Months,2,03-08-2024
18,WATER AND WASTE WATER TREATMENT,Full Time,Alappuzha Municipality,22-07-2024,Alappuzha,Kerala,10000 /month,Immediately,6 Months,1,06-08-2024
19,FINANCE INTERN,Full Time,Thrissur Municipal Corporation,05-08-2024,Thrissur,Kerala,10000 /month,Immediately,6 Months,1,12-08-2024
20,CIVIL ENGINEER (INTERN),Full Time,Thrissur Municipal Corporation,05-08-2024,Thrissur,Kerala,10000 /month,Immediately,6 Months,1,12-08-2024
21,WATER AND WASTE WATER TREATMENT,Full Time,"State Mission Management Unit, AMRUT Kerala",13-08-2024,Thiruvananthapuram,Kerala,10000 /month,Immediately,6 Months,6,30-09-2024
22,IT AND E-GOVERNANCE,Full Time,"State Mission Management Unit, AMRUT Kerala",13-08-2024,Thiruvananthapuram,Kerala,10000 /month,Immediately,6 Months,2,31-08-2024
23,CAPACITY BUILDING AND URBAN REFORMS,Full Time,"State Mission Management Unit, AMRUT Kerala",13-08-2024,Thiruvananthapuram,Kerala,10000 /month,Immediately,6 Months,1,30-09-2024
24,MUNICIPAL FINANCE,Full Time,"State Mission Management Unit, AMRUT Kerala",13-08-2024,Thiruvananthapuram,Kerala,10000 /month,Immediately,6 Months,1,30-09-2024
25,CIVIL ENGINEER (INTERN),Full Time,MUNCIPAL COUNCIL SUNDERNAGAR,03-10-2024,Sundernagar,Himachal Pradesh,10000 /month,Immediately,12 Months,2,13-10-2024
26,"URBAN PLANNING, PROVISION OF URBAN AMENITIES, FACILITIES AND REFORMS",Full Time,Alappuzha Municipality,10-10-2024,Alappuzha,Kerala,10000 /month,Immediately,6 Months,1,31-10-2024
27,URBAN PLANNER (INTERN),Full Time,Guruvayur Municipality,29-11-2024,Guruvayur,Kerala,10000 /month,Immediately,12 Months,1,03-12-2024
28,WATER AND WASTE WATER TREATMENT,Full Time,Thrissur Municipal Corporation,13-12-2024,Thrissur,Kerala,10000 /month,Immediately,6 Months,2,27-12-2024
29,WATER AND WASTE WATER,Full Time,Kollam Municipal Corporation,19-12-2024,Kollam,Kerala,10000 /month,Immediately,12 Months,2,15-02-2025
30,E-GOVERNANCE INTERNS IN MSEVA PROJECT OF PMIDC,Full Time,Punjab Municipal Infrastructure Development Company,01-01-2025,Chandigarh,Punjab,12000 /month,Immediately,6 Months,2,18-02-2025
31,CIVIL ENGINEER (INTERN),Full Time,Thrissur Municipal Corporation,14-01-2025,Thrissur,Kerala,10000 /month,Immediately,6 Months,1,25-01-2025
32,MUNICIPAL FINANCE,Full Time,Alappuzha Municipality,11-02-2025,Alappuzha,Kerala,10000 /month,Immediately,6 Months,1,19-02-2025
33,"URBAN PLANNING, PROVISION OF URBAN AMENITIES, FACILITIES AND REFORMS",Full Time,Alappuzha Municipality,15-03-2025,Alappuzha,Kerala,10000 /month,Immediately,6 Months,1,21-03-2025
34,WATER AND WASTE WATER TREATMENT,Full Time,Alappuzha Municipality,15-03-2025,Alappuzha,Kerala,10000 /month,Immediately,6 Months,1,21-03-2025
35,WATER AND WASTE WATER,Full Time,Kannur Municipal Corporation,14-05-2025,Kannur,Kerala,10000 /month,Immediately,12 Months,1,03-06-2025
36,URBAN PLANNING  (INTERN),Full Time,Kannur Municipal Corporation,14-05-2025,Kannur,Kerala,10000 /month,Immediately,12 Months,1,03-06-2025
37,WATER AND WASTEWATER TREATMENT,Full Time,"State Mission Management Unit, AMRUT Kerala",24-05-2025,Thiruvananthapuram,Kerala,10000 /month,Immediately,6 Months,4,14-07-2025
38,IT AND E-GOVERNANCE,Full Time,"State Mission Management Unit, AMRUT Kerala",24-05-2025,Thiruvananthapuram,Kerala,10000 /month,Immediately,6 Months,1,16-06-2025
39,ODISHA URBAN ACADEMY,Full Time,Housing and Urban development Department Odisha,24-06-2025,Bhubaneswar,Odisha,15000 /month,Immediately,12 Months,1,24-06-2025
40,WATER AND WASTE WATER,Full Time,Thrissur Municipal Corporation,30-06-2025,Thrissur,Kerala,10000 /month,Immediately,6 Months,2,10-07-2025
41,FINANCE INTERN,Full Time,Thrissur Municipal Corporation,30-06-2025,Thrissur,Kerala,10000 /month,Immediately,6 Months,1,10-07-2025
42,WATER AND WASTE WATER,Full Time,Guruvayur Municipality,30-06-2025,Guruvayur,Kerala,10000 /month,Immediately,6 Months,2,12-07-2025
43,DAY-NULM WEBSITE DESIGN WITH INTERACTIVE DASHBOARD & MOBILE APPLICATION DEVELOPMENT,Full Time,DAY NULM,24-03-2023,New Delhi,Delhi,Unpaid,Immediately,2 Months,60,17-07-2023
44,DAYNULM- MOBILE APPLICATION ANDROID DEVELOPER,Part Time,DAY NULM,24-03-2023,New Delhi,Delhi,Unpaid,Immediately,2 Months,50,10-04-2023
45,DAY NULM ENTERPRENEURSHIP DEVELOPMENT,Full Time,DAY NULM,24-03-2023,New Delhi,Delhi,Unpaid,Immediately,2 Months,50,02-08-2023
46,DAY NULM INTERN FOR SOCIAL MEDIA PROMOTION OF THE MISSION,Full Time,DAY NULM,24-03-2023,New Delhi,Delhi,Unpaid,Immediately,2 Months,50,19-07-2023
47,ANALYSIS OF BEST PRACTICES OF URBAN POVERTY ALLEVATION  AND ANLYSING THE FEASIBILITY OF THEIR IMPLEMENTATION,Full Time,DAY NULM,24-03-2023,New Delhi,Delhi,Unpaid,Immediately,2 Months,50,10-04-2023
48,DAY NULM INTERN FOR SOCIAL MEDIA PROMOTION OF THE MISSION,Full Time,Urban Development and Housing Department,10-04-2023,Nabinagar,Bihar,Unpaid,Immediately,2 Months,2,24-04-2023
49,DAY NULM INTERN FOR SOCIAL MEDIA PROMOTION OF THE MISSION,Full Time,NAGAR PANCHAYAT ETAPALLI,10-05-2023,Etapalli,Maharashtra,10000 /month,Immediately,6 Months,1,10-06-2023
50,SUSTAINABLE AND HOLISTIC DEVELOPMENT OF CITY LIVELIHOOD CENTE,Full Time,Deendayal Antyodaya Yojna National Urban Livelihood Mission Goalpara MB Assam,10-05-2023,Goalpara,Assam,Unpaid,Immediately,1 Months,3,15-08-2024
51,SOCIAL WORK INTERN,Full Time,Nagar Palika Parishad Bijapur,10-05-2023,Bijapur,Chhattisgarh,Unpaid,Immediately,8 Weeks,3,15-09-2024
52,ENTREPRENEURSHIP DEVELOPMENT INTERN,Full Time,DAY NULM CMMU BONGAIGAON,11-05-2023,Bongaigaon,Assam,Unpaid,Immediately,8 Weeks,1,31-05-2023
53,SOCIAL MOBILIZER,Full Time,CITY MISSION MANAGEMENT UNIT DAY NULM JORHAT,12-05-2023,Jorhat,Assam,Unpaid,Immediately,6 Months,2,09-02-2024
54,SOCIAL MEDIA EXPERT,Full Time,CITY MISSION MANAGEMENT UNIT DAY NULM JORHAT,12-05-2023,Jorhat,Assam,Unpaid,Immediately,8 Weeks,1,31-07-2023
55,SELF EMPLOYMENT PROGRAMME (INDIVIDUAL AND SHG BANK LINKAGE),Full Time,DAY NULM KOKRAJHAR ASSAM,12-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,2,25-05-2023
56,CITY LIVELIHOOD CENTRE OF DAY-NULM AND DESIGNING VENDING ZONE,Full Time,DAY NULM KOKRAJHAR ASSAM,12-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,2,25-05-2023
57,MASS COMMUNICATIONS & SOCIAL MEDIA AND ONBOARDING OF SHG PRODUCT THROUGH ECOMMERCE,Full Time,DAY NULM KOKRAJHAR ASSAM,12-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,2,25-05-2023
58,SOCIAL DEVELOPMENT OFFICER,Full Time,NULM,12-05-2023,Golaghat,Assam,Unpaid,Immediately,3 Months,5,25-05-2023
59,SOCIAL MOBILIZER,Full Time,DAY NULM TEOK ULB,15-05-2023,Jorhat,Assam,Unpaid,Immediately,2 Months,2,31-07-2023
60,"MASS COMMUNICATION AND SOCIAL MEDIA, ON-BOARDING OF SHGS PRODUCT THROUGH E-COMMERCE PLATFORM",Full Time,DAY NULM GOSSAIGAON ASSAM,15-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,1,14-08-2023
61,SELF-EMPLOYMENT PROGRAMME VIZ. INDIVIDUAL AND SHG BANK LINKAGE,Full Time,DAY NULM GOSSAIGAON ASSAM,15-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,2,25-05-2023
62,DAY NULM SOCIAL MEDIA HANDLE DEVELOPMENT INTERN,Full Time,Deendayal Antyodaya Yojna National Urban Livelihood Mission Goalpara MB Assam,15-05-2023,Goalpara,Assam,Unpaid,Immediately,4 Weeks,2,15-08-2024
63,BRANDING AND MARKETING EXPERT,Full Time,DAY NULM TEOK ULB,15-05-2023,Jorhat,Assam,Unpaid,Immediately,2 Months,1,15-06-2023
64,SOCIAL MEDIA EXPERT,Full Time,DAY NULM TEOK ULB,15-05-2023,Jorhat,Assam,Unpaid,Immediately,8 Weeks,1,15-06-2023
65,SOCIAL MOBILIZER,Full Time,"CMMU, Guwahati Municipal Corporation ,  DAY NULM- Assam",15-05-2023,Kamrup Metropolitan,Assam,Unpaid,Immediately,2 Months,2,31-10-2023
